mission,field,altitude,date,index_name,mean,median,std,p25,p75,n_valid
20250423_RBD_REPAR_F12_HA,F12,HA,20250423,ExG,7.5721,7.0,3.5894,5.0,10.0,60028885
20250423_RBD_REPAR_F12_HA,F12,HA,20250423,GNDVI,0.0495,0.0498,0.0575,0.011,0.0882,60028885
20250423_RBD_REPAR_F12_HA,F12,HA,20250423,NDRE,-0.0406,-0.0416,0.0316,-0.0618,-0.0206,60028885
20250423_RBD_REPAR_F12_HA,F12,HA,20250423,NDVI,0.1962,0.1947,0.0676,0.1492,0.2414,60028885
20250423_RBD_REPAR_F12_HA,F12,HA,20250423,OSAVI,0.1962,0.1947,0.0676,0.1492,0.2414,60028885
20250423_RBD_REPAR_F12_HA,F12,HA,20250423,VARI,-0.0438,-0.043,0.0182,-0.0548,-0.0316,60028885
20250423_RBD_REPAR_F12_LA,F12,LA,20250423,ExG,7.4717,7.0,4.5981,4.0,10.0,235130512
20250423_RBD_REPAR_F12_LA,F12,LA,20250423,GNDVI,0.0463,0.0437,0.0668,0.0002,0.0901,235130512
20250423_RBD_REPAR_F12_LA,F12,LA,20250423,NDRE,-0.0466,-0.0469,0.0304,-0.0667,-0.0267,235130512
20250423_RBD_REPAR_F12_LA,F12,LA,20250423,NDVI,0.1898,0.1803,0.0844,0.1294,0.2418,235130512
20250423_RBD_REPAR_F12_LA,F12,LA,20250423,OSAVI,0.1898,0.1803,0.0844,0.1294,0.2418,235130512
20250423_RBD_REPAR_F12_LA,F12,LA,20250423,VARI,-0.0185,-0.0186,0.02,-0.0299,-0.0068,235130507
20250429_RBD_REPAR_F12_HA,F12,HA,20250429,ExG,8.976,9.0,4.2589,6.0,12.0,59959800
20250429_RBD_REPAR_F12_HA,F12,HA,20250429,GNDVI,0.0521,0.0534,0.0577,0.0137,0.0913,59959800
20250429_RBD_REPAR_F12_HA,F12,HA,20250429,NDRE,-0.0458,-0.0459,0.0264,-0.063,-0.0288,59959800
20250429_RBD_REPAR_F12_HA,F12,HA,20250429,NDVI,0.196,0.1954,0.0731,0.1452,0.2455,59959800
20250429_RBD_REPAR_F12_HA,F12,HA,20250429,OSAVI,0.196,0.1954,0.0731,0.1452,0.2455,59959800
20250429_RBD_REPAR_F12_HA,F12,HA,20250429,VARI,-0.0327,-0.0326,0.0198,-0.0457,-0.0195,59959800
20250429_RBD_REPAR_F12_LA,F12,LA,20250429,ExG,8.9313,8.0,6.1834,5.0,12.0,233125115
20250429_RBD_REPAR_F12_LA,F12,LA,20250429,GNDVI,0.0519,0.0512,0.0736,0.0013,0.1019,233125115
20250429_RBD_REPAR_F12_LA,F12,LA,20250429,NDRE,-0.0466,-0.0475,0.0338,-0.0691,-0.0251,233125115
20250429_RBD_REPAR_F12_LA,F12,LA,20250429,NDVI,0.1875,0.1806,0.0958,0.1187,0.2504,233125115
20250429_RBD_REPAR_F12_LA,F12,LA,20250429,OSAVI,0.1875,0.1806,0.0958,0.1187,0.2504,233125115
20250429_RBD_REPAR_F12_LA,F12,LA,20250429,VARI,-0.0266,-0.0263,0.0251,-0.0412,-0.0123,233124974
20250503_RBD_REPAR_F17_HA,F17,HA,20250503,ExG,11.0727,11.0,6.7191,6.0,16.0,48798142
20250503_RBD_REPAR_F17_HA,F17,HA,20250503,GNDVI,0.0498,0.0573,0.0653,0.0095,0.0957,48798142
20250503_RBD_REPAR_F17_HA,F17,HA,20250503,NDRE,-0.0495,-0.048,0.027,-0.0654,-0.0316,48798142
20250503_RBD_REPAR_F17_HA,F17,HA,20250503,NDVI,0.2019,0.2087,0.0878,0.1429,0.2654,48798142
20250503_RBD_REPAR_F17_HA,F17,HA,20250503,OSAVI,0.2019,0.2087,0.0878,0.1429,0.2654,48798142
20250503_RBD_REPAR_F17_HA,F17,HA,20250503,VARI,-0.0081,-0.0093,0.022,-0.0229,0.007,48798142
20250503_RBD_REPAR_F17_LA,F17,LA,20250503,ExG,9.106,8.0,7.7561,4.0,13.0,208520929
20250503_RBD_REPAR_F17_LA,F17,LA,20250503,GNDVI,0.0501,0.0534,0.0802,-0.0025,0.1056,208520929
20250503_RBD_REPAR_F17_LA,F17,LA,20250503,NDRE,-0.0462,-0.047,0.0375,-0.0714,-0.0217,208520929
20250503_RBD_REPAR_F17_LA,F17,LA,20250503,NDVI,0.1898,0.1877,0.1047,0.1163,0.2625,208520929
20250503_RBD_REPAR_F17_LA,F17,LA,20250503,OSAVI,0.1898,0.1877,0.1047,0.1163,0.2625,208520929
20250503_RBD_REPAR_F17_LA,F17,LA,20250503,VARI,-0.016,-0.018,0.0292,-0.0337,0.0,208520929
20250503_RBD_REPAR_F21_HA,F21,HA,20250503,ExG,6.2901,6.0,6.1127,2.0,10.0,55880039
20250503_RBD_REPAR_F21_HA,F21,HA,20250503,GNDVI,0.0478,0.0499,0.0676,-0.0001,0.0964,55880039
20250503_RBD_REPAR_F21_HA,F21,HA,20250503,NDRE,-0.0479,-0.0477,0.0208,-0.0614,-0.0343,55880039
20250503_RBD_REPAR_F21_HA,F21,HA,20250503,NDVI,0.1833,0.1825,0.0823,0.1219,0.241,55880039
20250503_RBD_REPAR_F21_HA,F21,HA,20250503,OSAVI,0.1833,0.1825,0.0823,0.1219,0.241,55880039
20250503_RBD_REPAR_F21_HA,F21,HA,20250503,VARI,-0.137,-0.1374,0.02,-0.15,-0.1245,55880039
20250503_RBD_REPAR_F21_LA,F21,LA,20250503,ExG,4.3341,3.0,7.9499,-1.0,9.0,173272969
20250503_RBD_REPAR_F21_LA,F21,LA,20250503,GNDVI,0.0488,0.0465,0.0861,-0.0145,0.1101,173272969
20250503_RBD_REPAR_F21_LA,F21,LA,20250503,NDRE,-0.0492,-0.0491,0.028,-0.0673,-0.0312,173272969
20250503_RBD_REPAR_F21_LA,F21,LA,20250503,NDVI,0.1802,0.1703,0.1005,0.1027,0.248,173272969
20250503_RBD_REPAR_F21_LA,F21,LA,20250503,OSAVI,0.1802,0.1703,0.1005,0.1027,0.248,173272969
20250503_RBD_REPAR_F21_LA,F21,LA,20250503,VARI,-0.1499,-0.1484,0.0329,-0.1689,-0.1298,173272969
20250503_RBD_REPAR_exp2_HA,EXP2,HA,20250503,ExG,6.0264,6.0,3.1652,4.0,8.0,942492
20250503_RBD_REPAR_exp2_HA,EXP2,HA,20250503,GNDVI,0.0346,0.0316,0.0604,-0.009,0.0747,942492
20250503_RBD_REPAR_exp2_HA,EXP2,HA,20250503,NDRE,-0.0383,-0.0387,0.0222,-0.0536,-0.0232,942492
20250503_RBD_REPAR_exp2_HA,EXP2,HA,20250503,NDVI,0.183,0.1775,0.0717,0.1316,0.2294,942492
20250503_RBD_REPAR_exp2_HA,EXP2,HA,20250503,OSAVI,0.183,0.1775,0.0717,0.1316,0.2294,942492
20250503_RBD_REPAR_exp2_HA,EXP2,HA,20250503,VARI,-0.0311,-0.0308,0.0112,-0.0383,-0.0237,942492
20250503_RBD_REPAR_exp2_LA,EXP2,LA,20250503,ExG,4.7668,4.0,5.3536,1.0,8.0,14861508
20250503_RBD_REPAR_exp2_LA,EXP2,LA,20250503,GNDVI,0.0468,0.04,0.0742,-0.0049,0.0939,14861508
20250503_RBD_REPAR_exp2_LA,EXP2,LA,20250503,NDRE,-0.0406,-0.041,0.0288,-0.0599,-0.0218,14861508
20250503_RBD_REPAR_exp2_LA,EXP2,LA,20250503,NDVI,0.1863,0.1691,0.0853,0.1249,0.2349,14861508
20250503_RBD_REPAR_exp2_LA,EXP2,LA,20250503,OSAVI,0.1863,0.1691,0.0853,0.1249,0.2349,14861508
20250503_RBD_REPAR_exp2_LA,EXP2,LA,20250503,VARI,-0.0265,-0.027,0.0182,-0.0372,-0.0176,14861508
20250508_RBD_REPAR_F12_HA,F12,HA,20250508,ExG,14.2992,14.0,7.0091,10.0,19.0,53605956
20250508_RBD_REPAR_F12_HA,F12,HA,20250508,GNDVI,0.0487,0.0517,0.0569,0.0128,0.0871,53605956
20250508_RBD_REPAR_F12_HA,F12,HA,20250508,NDRE,-0.0519,-0.0521,0.0222,-0.0666,-0.0375,53605956
20250508_RBD_REPAR_F12_HA,F12,HA,20250508,NDVI,0.1983,0.2017,0.0856,0.1414,0.2579,53605956
20250508_RBD_REPAR_F12_HA,F12,HA,20250508,OSAVI,0.1983,0.2017,0.0856,0.1414,0.2579,53605956
