date,field,altitude,source_folder,mission_name,mission_path,phase
2025-04-23,F12,LA,1_New,20250423_RBD_REPAR_F12_LA,D:\Yatharth_Internship\1_Final_Dataset\F12\1_New\20250423_RBD_REPAR_F12_LA,Phase_A
2025-04-23,F12,HA,1_New,20250423_RBD_REPAR_F12_HA,D:\Yatharth_Internship\1_Final_Dataset\F12\1_New\20250423_RBD_REPAR_F12_HA,Phase_A
2025-04-29,F12,LA,0_Pre,20250429_RBD_REPAR_F12_LA,D:\Yatharth_Internship\1_Final_Dataset\F12\0_Pre\20250429_RBD_REPAR_F12_LA,Phase_A
2025-04-29,F12,HA,0_Pre,20250429_RBD_REPAR_F12_HA,D:\Yatharth_Internship\1_Final_Dataset\F12\0_Pre\20250429_RBD_REPAR_F12_HA,Phase_A
2025-05-03,F17,LA,0_Pre,20250503_RBD_REPAR_F17_LA,D:\Yatharth_Internship\1_Final_Dataset\F17\0_Pre\20250503_RBD_REPAR_F17_LA,Phase_A
2025-05-03,F17,HA,0_Pre,20250503_RBD_REPAR_F17_HA,D:\Yatharth_Internship\1_Final_Dataset\F17\0_Pre\20250503_RBD_REPAR_F17_HA,Phase_A
2025-05-03,F21,LA,0_Pre,20250503_RBD_REPAR_F21_LA,D:\Yatharth_Internship\1_Final_Dataset\F21\0_Pre\20250503_RBD_REPAR_F21_LA,Phase_A
2025-05-03,F21,HA,0_Pre,20250503_RBD_REPAR_F21_HA,D:\Yatharth_Internship\1_Final_Dataset\F21\0_Pre\20250503_RBD_REPAR_F21_HA,Phase_A
2025-05-03,EXP2,LA,0_Pre,20250503_RBD_REPAR_exp2_LA,D:\Yatharth_Internship\1_Final_Dataset\exp2\0_Pre\20250503_RBD_REPAR_exp2_LA,Phase_A
2025-05-03,EXP2,HA,0_Pre,20250503_RBD_REPAR_exp2_HA,D:\Yatharth_Internship\1_Final_Dataset\exp2\0_Pre\20250503_RBD_REPAR_exp2_HA,Phase_A
2025-05-08,F12,LA,1_New,20250508_RBD_REPAR_F12_LA,D:\Yatharth_Internship\1_Final_Dataset\F12\1_New\20250508_RBD_REPAR_F12_LA,Phase_A
2025-05-08,F12,HA,1_New,20250508_RBD_REPAR_F12_HA,D:\Yatharth_Internship\1_Final_Dataset\F12\1_New\20250508_RBD_REPAR_F12_HA,Phase_A
2025-05-08,F17,LA,1_New,20250508_RBD_REPAR_F17_LA,D:\Yatharth_Internship\1_Final_Dataset\F17\1_New\20250508_RBD_REPAR_F17_LA,Phase_A
